registry_no,buyer_name,seller_name,property_address,property_value_pkr,transfer_date,area_marla,property_type,registry_type,noc_status,society_name,plot_number
REG-PRO-466,Hamza Malik,Tariq Javed,"House 32, F-7, Rawalpindi",7573395,2022-06-18,5,Residential,Transfer Letter,Approved,Hayatabad,Plot 147
REG-PRO-467,Muhammad Hassan,Saima Mirza,"House 61, F-7, Faisalabad",7478984,2024-07-05,5,Commercial,Allotment Letter,Pending,F-7,Plot 128
REG-PRO-468,Amna Bibi,Saima Khan,"House 80, Pechs, Peshawar",24820731,2026-09-23,20,Industrial,Transfer Letter,Pending,Local Scheme,Plot 253
REG-PRO-469,Imran Baig,Waseem Siddiqui,"House 18, Bahria Town, Faisalabad",24932645,2025-02-04,5,Industrial,File,Approved,PECHS,Plot 409
REG-PRO-470,Hina Raza,Sana Sheikh,"House 42, Clifton, Karachi",4148001,2025-10-12,10,Residential,Allotment Letter,Unapproved,Hayatabad,Plot 122
REG-PRO-471,Bilal Javed,Saima Siddiqui,"House 29, Johar Town, Faisalabad",11866975,2026-10-03,10,Residential,Transfer Letter,Pending,Gulberg,Plot 390
REG-PRO-472,Imran Sheikh,Nadia Khan,"House 14, Pechs, Islamabad",23935103,2019-02-18,14,Industrial,Transfer Letter,Approved,Hayatabad,Plot 59
REG-PRO-473,Hina Hassan,Bilal Ahmed,"House 129, F-7, Peshawar",6101909,2018-03-03,10,Industrial,Registry,Pending,Hayatabad,Plot 359
REG-PRO-474,Nadia Malik,Imran Iqbal,"House 34, Clifton, Karachi",26193952,2019-12-26,5,Industrial,File,Approved,Bahria Town,Plot 457
REG-PRO-475,Hina Siddiqui,Saima Hassan,"House 36, Clifton, Faisalabad",5052677,2021-12-24,7,Commercial,File,Approved,Gulberg,Plot 427
REG-PRO-476,Zubair Khan,Sana Iqbal,"House 95, Pechs, Faisalabad",5662388,2022-10-23,5,Industrial,Allotment Letter,Approved,DHA,Plot 173
REG-PRO-477,Hamza Nawaz,Amna Malik,"House 26, Johar Town, Faisalabad",16623550,2021-07-03,10,Industrial,Registry,Approved,DHA,Plot 394
REG-PRO-478,Amna Bibi,Fatima Bibi,"House 122, G-10, Islamabad",6004181,2019-09-11,10,Commercial,Transfer Letter,Approved,Bahria Town,Plot 41
REG-PRO-479,Muhammad Mirza,Usman Khan,"House 111, F-7, Faisalabad",24303330,2023-01-21,7,Agricultural,File,Pending,Bahria Town,Plot 374
REG-PRO-480,Sana Rizvi,Hamza Raza,"House 22, Nazimabad, Islamabad",12044031,2024-05-02,14,Commercial,Registry,Pending,DHA,Plot 439
REG-PRO-481,Nadia Siddiqui,Imran Ahmed,"House 104, Clifton, Peshawar",10849210,2023-02-13,14,Commercial,Allotment Letter,Pending,Clifton,Plot 360
REG-PRO-482,Fatima Khan,Ayesha Chaudhry,"House 22, Clifton, Faisalabad",17704989,2026-05-01,10,Residential,Transfer Letter,Approved,PECHS,Plot 345
REG-PRO-483,Saima Javed,Tariq Sheikh,"House 65, DHA, Lahore",23989887,2023-01-01,20,Residential,File,Pending,DHA,Plot 120
REG-PRO-484,Waseem Nawaz,Nadia Butt,"House 142, Johar Town, Faisalabad",4642065,2026-05-06,5,Agricultural,Registry,Approved,Hayatabad,Plot 381
REG-PRO-485,Imran Raza,Ahmed Abbasi,"House 115, Hayatabad, Karachi",21999588,2021-10-16,5,Agricultural,Registry,Pending,Local Scheme,Plot 139
REG-PRO-486,Muhammad Rizvi,Waseem Mirza,"House 140, G-10, Lahore",3536255,2022-07-02,5,Residential,Allotment Letter,Approved,F-7,Plot 7
REG-PRO-487,Hina Butt,Waseem Iqbal,"House 103, Clifton, Karachi",14607469,2022-03-12,5,Commercial,Registry,Approved,Clifton,Plot 154
REG-PRO-488,Ali Butt,Nadia Qureshi,"House 29, Nazimabad, Lahore",19749025,2020-01-20,14,Residential,File,Approved,Hayatabad,Plot 230
REG-PRO-489,Zainab Nawaz,Ahmed Malik,"House 79, Clifton, Lahore",6627761,2026-01-17,5,Industrial,File,Approved,Hayatabad,Plot 405
REG-PRO-490,Zainab Abbasi,Ali Malik,"House 100, Nazimabad, Karachi",9665196,2026-05-26,7,Residential,Allotment Letter,Approved,Hayatabad,Plot 188
REG-PRO-491,Saima Rizvi,Imran Javed,"House 78, DHA, Peshawar",24445749,2026-01-06,5,Residential,Registry,Approved,Gulberg,Plot 1
REG-PRO-492,Zainab Qureshi,Nadia Baig,"House 54, Clifton, Peshawar",27258112,2019-04-02,10,Agricultural,Registry,Approved,Local Scheme,Plot 291
REG-PRO-493,Imran Sheikh,Zubair Hassan,"House 133, Clifton, Karachi",28277297,2019-02-19,5,Industrial,Registry,Approved,F-7,Plot 379
REG-PRO-494,Hamza Sheikh,Zainab Chaudhry,"House 139, F-7, Islamabad",13104222,2022-10-18,5,Commercial,Registry,Unapproved,Clifton,Plot 384
REG-PRO-495,Hina Nawaz,Zainab Baig,"House 39, DHA, Peshawar",25627568,2020-01-28,14,Agricultural,File,Unapproved,DHA,Plot 127
REG-PRO-496,Zubair Qureshi,Hamza Butt,"House 80, Pechs, Peshawar",10863627,2024-07-06,14,Residential,Allotment Letter,Approved,Hayatabad,Plot 150
REG-PRO-497,Usman Rizvi,Zubair Malik,"House 122, Nazimabad, Lahore",10082852,2018-07-24,20,Agricultural,Registry,Approved,DHA,Plot 187
REG-PRO-498,Tariq Ahmed,Nadia Sheikh,"House 7, G-10, Peshawar",7260059,2018-08-28,20,Residential,Allotment Letter,Approved,Hayatabad,Plot 447
REG-PRO-499,Nadia Rizvi,Bilal Hassan,"House 134, DHA, Rawalpindi",15601512,2022-11-03,7,Commercial,Registry,Approved,Local Scheme,Plot 281
REG-PRO-500,Amna Siddiqui,Tariq Mirza,"House 37, F-7, Rawalpindi",5930368,2018-06-12,10,Agricultural,Allotment Letter,Approved,Hayatabad,Plot 300
REG-PRO-501,Zainab Malik,Imran Malik,"House 22, G-10, Peshawar",15960417,2026-08-13,7,Residential,Registry,Approved,Hayatabad,Plot 448
REG-PRO-502,Ahmed Sheikh,Amna Baig,"House 49, Johar Town, Faisalabad",23605460,2022-03-18,5,Commercial,Registry,Approved,Clifton,Plot 374
REG-PRO-503,Amna Siddiqui,Zubair Siddiqui,"House 73, Johar Town, Rawalpindi",28976075,2018-03-21,7,Residential,Transfer Letter,Approved,Bahria Town,Plot 88
REG-PRO-504,Amna Siddiqui,Usman Qureshi,"House 39, Hayatabad, Islamabad",14601922,2023-07-15,20,Commercial,Registry,Approved,Local Scheme,Plot 400
REG-PRO-505,Fatima Rizvi,Muhammad Baig,"House 18, DHA, Karachi",7490932,2025-04-27,10,Residential,Registry,Unapproved,Clifton,Plot 201
REG-PRO-506,Hamza Bibi,Ali Sheikh,"House 29, F-7, Rawalpindi",18795993,2023-11-01,20,Agricultural,Registry,Pending,Bahria Town,Plot 40
REG-PRO-507,Bilal Mirza,Saima Hassan,"House 143, Nazimabad, Faisalabad",10800505,2024-01-06,14,Agricultural,Transfer Letter,Approved,F-7,Plot 341
REG-PRO-508,Usman Iqbal,Hina Bibi,"House 63, Nazimabad, Lahore",23933460,2025-09-08,20,Industrial,Allotment Letter,Approved,Hayatabad,Plot 241
REG-PRO-509,Usman Mirza,Ayesha Ahmed,"House 121, Johar Town, Peshawar",18083628,2018-05-02,20,Commercial,Registry,Pending,Gulberg,Plot 420
REG-PRO-510,Saima Sheikh,Ali Raza,"House 136, Clifton, Karachi",18106039,2024-09-02,10,Residential,Transfer Letter,Unapproved,Hayatabad,Plot 279
REG-PRO-511,Usman Malik,Imran Javed,"House 27, Bahria Town, Faisalabad",29501114,2021-07-10,10,Commercial,Transfer Letter,Unapproved,Bahria Town,Plot 38
REG-PRO-512,Imran Rizvi,Hamza Bibi,"House 70, Nazimabad, Rawalpindi",23392115,2024-10-21,20,Residential,File,Unapproved,DHA,Plot 439
REG-PRO-513,Muhammad Butt,Imran Nawaz,"House 93, Hayatabad, Rawalpindi",7508039,2020-07-07,10,Residential,Allotment Letter,Pending,PECHS,Plot 54
REG-PRO-514,Hina Iqbal,Hamza Khan,"House 15, Gulberg, Peshawar",26851586,2021-11-01,14,Commercial,File,Approved,Hayatabad,Plot 496
REG-PRO-515,Imran Siddiqui,Muhammad Javed,"House 100, Bahria Town, Karachi",16804642,2023-10-27,10,Commercial,File,Approved,Local Scheme,Plot 231
REG-PRO-516,Bilal Malik,Sana Raza,"House 29, DHA, Islamabad",10205588,2022-09-13,10,Residential,Transfer Letter,Unapproved,Local Scheme,Plot 197
REG-PRO-517,Hamza Qureshi,Muhammad Raza,"House 75, Nazimabad, Karachi",4979479,2024-11-24,5,Commercial,Allotment Letter,Approved,F-7,Plot 370
REG-PRO-518,Ayesha Qureshi,Bilal Chaudhry,"House 107, Nazimabad, Karachi",7207391,2020-10-12,10,Industrial,Registry,Approved,F-7,Plot 351
REG-PRO-519,Waseem Raza,Waseem Abbasi,"House 22, DHA, Karachi",6200909,2026-08-27,20,Industrial,Registry,Approved,Clifton,Plot 413
REG-PRO-520,Hamza Siddiqui,Muhammad Bibi,"House 93, Clifton, Faisalabad",20442512,2022-07-11,7,Agricultural,Allotment Letter,Unapproved,Gulberg,Plot 296
REG-PRO-521,Hina Chaudhry,Bilal Hassan,"House 17, Hayatabad, Karachi",11618781,2022-10-07,20,Commercial,Allotment Letter,Approved,Gulberg,Plot 275
REG-PRO-522,Ayesha Rizvi,Ayesha Nawaz,"House 18, Pechs, Islamabad",5215787,2019-04-23,10,Residential,Registry,Unapproved,Local Scheme,Plot 80
REG-PRO-523,Zainab Rizvi,Bilal Hassan,"House 92, Nazimabad, Lahore",4204809,2025-02-18,5,Commercial,File,Approved,Bahria Town,Plot 165
REG-PRO-524,Sana Mirza,Fatima Baig,"House 63, DHA, Rawalpindi",11224559,2025-09-03,14,Industrial,File,Approved,Local Scheme,Plot 387
REG-PRO-525,Waseem Malik,Saima Siddiqui,"House 44, Gulberg, Islamabad",20856537,2022-09-21,14,Agricultural,Transfer Letter,Approved,Bahria Town,Plot 467
REG-PRO-526,Nadia Qureshi,Muhammad Butt,"House 80, G-10, Karachi",23900969,2020-12-18,7,Industrial,Allotment Letter,Unapproved,DHA,Plot 234
REG-PRO-527,Waseem Bibi,Ahmed Bibi,"House 81, F-7, Faisalabad",28842576,2024-09-11,14,Agricultural,Registry,Approved,Local Scheme,Plot 62
REG-PRO-528,Tariq Bibi,Ahmed Ahmed,"House 13, Johar Town, Karachi",3662089,2019-07-04,20,Residential,File,Pending,F-7,Plot 414
REG-PRO-529,Nadia Nawaz,Fatima Abbasi,"House 88, Gulberg, Rawalpindi",19988838,2025-05-03,20,Agricultural,Registry,Pending,Clifton,Plot 203
REG-PRO-530,Sana Mirza,Imran Mirza,"House 74, Clifton, Karachi",4947737,2022-11-14,7,Industrial,File,Approved,Gulberg,Plot 401
REG-PRO-531,Hina Baig,Bilal Abbasi,"House 85, Hayatabad, Faisalabad",10043204,2024-06-28,7,Agricultural,Allotment Letter,Pending,DHA,Plot 172
REG-PRO-532,Ayesha Bibi,Amna Malik,"House 150, Bahria Town, Islamabad",27163352,2023-05-10,20,Commercial,Transfer Letter,Approved,Clifton,Plot 145
REG-PRO-533,Nadia Javed,Ahmed Siddiqui,"House 44, G-10, Faisalabad",7678693,2018-10-12,5,Industrial,File,Approved,F-7,Plot 256
REG-PRO-534,Zainab Siddiqui,Hina Butt,"House 89, G-10, Islamabad",4122295,2023-05-15,10,Industrial,Registry,Pending,Clifton,Plot 333
REG-PRO-535,Hina Sheikh,Ali Ahmed,"House 137, Nazimabad, Islamabad",26522869,2024-12-11,14,Residential,Transfer Letter,Unapproved,Gulberg,Plot 12
REG-PRO-536,Fatima Iqbal,Tariq Siddiqui,"House 15, G-10, Karachi",6558165,2020-05-16,14,Commercial,Allotment Letter,Approved,Clifton,Plot 239
REG-PRO-537,Fatima Nawaz,Zainab Qureshi,"House 127, Clifton, Karachi",29320808,2025-04-14,20,Commercial,File,Unapproved,DHA,Plot 235
REG-PRO-538,Hina Hassan,Bilal Chaudhry,"House 94, G-10, Peshawar",21962545,2023-06-26,10,Industrial,Transfer Letter,Unapproved,DHA,Plot 183
REG-PRO-539,Ali Rizvi,Zainab Baig,"House 122, Hayatabad, Karachi",5440588,2022-01-12,7,Residential,Registry,Approved,F-7,Plot 436
REG-PRO-540,Bilal Raza,Tariq Nawaz,"House 72, Hayatabad, Islamabad",25469132,2026-06-24,5,Residential,Allotment Letter,Approved,PECHS,Plot 234
REG-PRO-541,Ayesha Butt,Usman Qureshi,"House 136, G-10, Islamabad",5854560,2026-08-02,10,Commercial,Registry,Unapproved,Clifton,Plot 361
REG-PRO-542,Muhammad Hassan,Hamza Siddiqui,"House 143, G-10, Islamabad",17918240,2022-06-06,7,Residential,Registry,Approved,Hayatabad,Plot 284
REG-PRO-543,Waseem Abbasi,Zainab Baig,"House 4, Bahria Town, Islamabad",11438568,2020-09-06,7,Residential,Allotment Letter,Approved,Local Scheme,Plot 118
REG-PRO-544,Ayesha Butt,Waseem Baig,"House 50, G-10, Lahore",25499116,2025-10-09,7,Commercial,Registry,Unapproved,Bahria Town,Plot 118
REG-PRO-545,Bilal Butt,Zainab Chaudhry,"House 108, Nazimabad, Lahore",9279757,2024-04-28,10,Agricultural,Transfer Letter,Pending,Gulberg,Plot 26
REG-PRO-546,Fatima Abbasi,Ahmed Abbasi,"House 110, DHA, Peshawar",14328545,2020-10-01,20,Residential,Transfer Letter,Approved,Bahria Town,Plot 37
REG-PRO-547,Tariq Malik,Tariq Mirza,"House 99, Nazimabad, Rawalpindi",13936168,2021-06-25,14,Commercial,Registry,Pending,Clifton,Plot 140
REG-PRO-548,Tariq Bibi,Hina Bibi,"House 40, Hayatabad, Islamabad",27346732,2019-07-16,20,Industrial,Transfer Letter,Approved,PECHS,Plot 232
REG-PRO-549,Usman Sheikh,Fatima Iqbal,"House 116, Nazimabad, Islamabad",3044574,2023-03-01,14,Residential,Registry,Pending,Hayatabad,Plot 382
