fbr_id,full_name,declared_income_pkr,tax_paid_pkr,filer_status,reported_address,phone_number,income_source,wealth_source,occupation,years_as_nonfiler,has_bank_account
FBR-5195,Asad Baig,240000,24000,Non-ATL,"House 96, Cantt, Islamabad",0334-8525204,Rental,Cash,Teacher,5,True
FBR-5196,Fatima Hassan,480000,48000,Non-ATL,"House 138, Garden Town, Gujranwala",0335-9872505,Business,Gift,Engineer,6,True
FBR-5197,Nadia Rizvi,3000000,300000,ATL,"House 98, Johar Town, Peshawar",0324-5152562,Rental,Foreign Remittance,Doctor,0,True
FBR-5198,Farah Baig,5000000,500000,Non-ATL,"House 158, Satellite Town, Rawalpindi",0311-5037710,Business,Savings,Teacher,4,True
FBR-5199,Ali Bibi,3000000,300000,ATL,"House 190, Hayatabad, Quetta",0312-7748892,Rental,Gift,Retired,0,True
FBR-5200,Hamza Soomro,1800000,180000,ATL,"House 82, Bahria Town, Lahore",0346-6379867,Business,Foreign Remittance,Doctor,0,True
FBR-5201,Ali Rizvi,480000,48000,Non-ATL,"House 152, F-7, Multan",0321-8167236,Prize Bond,Cash,Engineer,2,False
FBR-5202,Ayesha Iqbal,3000000,300000,ATL,"House 97, G-10, Sialkot",0321-8944327,Business,Gift,Businessman,0,True
FBR-5203,Nadia Rizvi,1800000,180000,ATL,"House 136, DHA, Quetta",0318-7516590,Business,Foreign Remittance,Driver,0,True
FBR-5204,Ahmed Rizvi,960000,96000,ATL,"House 186, Gulberg, Gujranwala",0322-1864641,Agriculture,Cash,Shopkeeper,0,True
FBR-5205,Sobia Rizvi,5000000,500000,ATL,"House 56, Clifton, Karachi",0340-4504577,Agriculture,Foreign Remittance,Engineer,0,True
FBR-5206,Sobia Nawaz,0,0,Non-ATL,"House 63, Satellite Town, Rawalpindi",0348-4431161,Rental,Gift,Retired,2,True
FBR-5207,Sana Javed,1800000,180000,ATL,"House 93, Johar Town, Multan",0342-9342928,Rental,Savings,Accountant,0,False
FBR-5208,Imran Baig,480000,48000,Non-ATL,"House 12, Clifton, Faisalabad",0346-4712363,Business,Savings,Businessman,4,False
FBR-5209,Imran Bibi,240000,24000,Non-ATL,"House 98, Bahria Town, Peshawar",0346-5122665,Rental,Prize Bond,Shopkeeper,5,True
FBR-5210,Sobia Nawaz,5000000,500000,ATL,"House 118, Cantt, Peshawar",0320-6908535,Business,Gift,Lawyer,0,False
FBR-5211,Waseem Sheikh,3000000,300000,ATL,"House 20, Nazimabad, Islamabad",0313-1107102,Rental,Gift,Shopkeeper,0,True
FBR-5212,Muhammad Siddiqui,240000,24000,Non-ATL,"House 130, Satellite Town, Karachi",0339-7261268,Salary,Prize Bond,Shopkeeper,5,False
FBR-5213,Muhammad Rizvi,0,0,Non-ATL,"House 142, Johar Town, Gujranwala",0336-1198826,Salary,Prize Bond,Lawyer,2,True
FBR-5214,Nadia Hassan,5000000,500000,ATL,"House 28, Nazimabad, Lahore",0316-9797727,Business,Gift,Driver,0,True
FBR-5215,Saima Qureshi,5000000,500000,ATL,"House 118, F-7, Faisalabad",0346-5080351,Business,Foreign Remittance,Shopkeeper,0,True
FBR-5216,Ahmed Qureshi,3000000,300000,ATL,"House 98, Garden Town, Gujranwala",0334-8986040,Salary,Savings,Lawyer,0,True
FBR-5217,Imran Soomro,5000000,500000,ATL,"House 25, Johar Town, Karachi",0343-1713900,Business,Gift,Lawyer,0,False
FBR-5218,Farah Javed,0,0,Non-ATL,"House 140, DHA, Peshawar",0346-1552000,Business,Foreign Remittance,Engineer,1,True
FBR-5219,Sana Hassan,960000,96000,ATL,"House 145, Garden Town, Sukkur",0325-7528964,Prize Bond,Foreign Remittance,Housewife,0,True
FBR-5220,Waseem Chaudhry,0,0,Non-ATL,"House 14, Satellite Town, Sukkur",0316-8333124,Business,Savings,Unemployed,4,False
FBR-5221,Zubair Nawaz,3000000,300000,Non-ATL,"House 59, DHA, Faisalabad",0332-7298619,Rental,Gift,Shopkeeper,4,False
FBR-5222,Hamza Malik,1800000,180000,Non-ATL,"House 22, Cantt, Karachi",0327-3587398,Rental,Gift,Lawyer,3,True
FBR-5223,Muhammad Iqbal,0,0,Non-ATL,"House 114, Gulberg, Faisalabad",0333-5525929,Salary,Gift,Teacher,1,False
FBR-5224,Fatima Khan,1800000,180000,ATL,"House 23, Nazimabad, Quetta",0332-2561359,Prize Bond,Prize Bond,Accountant,0,True
FBR-5225,Nadia Qureshi,480000,48000,Non-ATL,"House 200, DHA, Multan",0315-5072543,Prize Bond,Prize Bond,Doctor,5,False
FBR-5226,Sana Javed,480000,48000,Non-ATL,"House 127, Bahria Town, Islamabad",0319-2061446,Business,Cash,Businessman,3,True
FBR-5227,Saima Javed,0,0,Non-ATL,"House 64, Cantt, Quetta",0341-4280754,Rental,Savings,Doctor,2,True
FBR-5228,Imran Mirza,5000000,500000,ATL,"House 86, G-10, Multan",0337-3283789,Agriculture,Foreign Remittance,Clerk,0,True
FBR-5229,Tariq Butt,240000,24000,Non-ATL,"House 75, G-10, Quetta",0341-5067204,Agriculture,Cash,Businessman,6,False
FBR-5230,Amna Hassan,1800000,180000,Non-ATL,"House 175, Gulberg, Faisalabad",0345-1451577,Rental,Gift,Student,6,True
FBR-5231,Nadia Nawaz,5000000,500000,ATL,"House 36, Gulberg, Sukkur",0329-5060441,Agriculture,Gift,Lawyer,0,False
FBR-5232,Hina Soomro,960000,96000,ATL,"House 103, Gulberg, Multan",0344-9499549,Rental,Prize Bond,Engineer,0,True
FBR-5233,Ahmed Ahmed,1800000,180000,ATL,"House 197, Cantt, Sukkur",0325-6956059,Business,Prize Bond,Engineer,0,False
FBR-5234,Fatima Javed,960000,96000,Non-ATL,"House 57, Cantt, Faisalabad",0342-9703982,Prize Bond,Prize Bond,Lawyer,4,True
FBR-5235,Farah Soomro,960000,96000,ATL,"House 177, G-10, Quetta",0342-3529080,Agriculture,Savings,Student,0,True
FBR-5236,Fatima Raza,0,0,Non-ATL,"House 90, Pechs, Peshawar",0329-6755703,Rental,Gift,Retired,3,True
FBR-5237,Zubair Butt,960000,96000,ATL,"House 18, Gulberg, Quetta",0329-1749657,Salary,Savings,Unemployed,0,True
FBR-5238,Sobia Bibi,240000,24000,Non-ATL,"House 133, Cantt, Gujranwala",0321-3686631,Agriculture,Prize Bond,Housewife,3,True
FBR-5239,Zainab Baig,240000,24000,Non-ATL,"House 102, Model Town, Multan",0311-4310554,Rental,Prize Bond,Housewife,3,True
FBR-5240,Bilal Malik,240000,24000,Non-ATL,"House 148, Clifton, Sukkur",0316-4136665,Agriculture,Foreign Remittance,Driver,3,True
FBR-5241,Asad Butt,5000000,500000,ATL,"House 153, Model Town, Peshawar",0334-7585795,Prize Bond,Savings,Unemployed,0,True
FBR-5242,Farah Iqbal,240000,24000,Non-ATL,"House 158, Hayatabad, Quetta",0347-2421902,Business,Foreign Remittance,Teacher,1,True
FBR-5243,Naveed Raza,480000,48000,Non-ATL,"House 131, Bahria Town, Karachi",0334-8016887,Prize Bond,Gift,Clerk,3,False
FBR-5244,Asad Hassan,3000000,300000,ATL,"House 143, Johar Town, Islamabad",0320-9214830,Agriculture,Gift,Doctor,0,True
FBR-5245,Saima Khan,0,0,Non-ATL,"House 125, Hayatabad, Quetta",0318-4273712,Rental,Prize Bond,Retired,5,False
FBR-5246,Zubair Nawaz,960000,96000,ATL,"House 43, Model Town, Multan",0315-1517756,Business,Foreign Remittance,Engineer,0,True
FBR-5247,Zainab Mirza,480000,48000,Non-ATL,"House 145, Nazimabad, Rawalpindi",0341-9569902,Salary,Prize Bond,Teacher,2,True
FBR-5248,Sobia Mirza,5000000,500000,Non-ATL,"House 140, Garden Town, Sialkot",0323-8132912,Salary,Gift,Businessman,6,True
FBR-5249,Ahmed Mirza,480000,48000,Non-ATL,"House 31, F-7, Quetta",0325-4521171,Prize Bond,Foreign Remittance,Lawyer,4,False
FBR-5250,Usman Siddiqui,240000,24000,Non-ATL,"House 16, Hayatabad, Islamabad",0346-6885707,Prize Bond,Foreign Remittance,Clerk,4,True
FBR-5251,Sana Soomro,480000,48000,Non-ATL,"House 69, Satellite Town, Faisalabad",0342-2597613,Business,Cash,Engineer,2,True
FBR-5252,Hamza Raza,240000,24000,Non-ATL,"House 183, Garden Town, Sukkur",0330-5153279,Rental,Cash,Doctor,4,True
FBR-5253,Asad Malik,960000,96000,ATL,"House 104, Pechs, Gujranwala",0342-5667852,Agriculture,Cash,Student,0,True
FBR-5254,Sobia Malik,5000000,500000,ATL,"House 188, DHA, Hyderabad",0339-7009980,Salary,Prize Bond,Housewife,0,True
FBR-5255,Hina Javed,240000,24000,Non-ATL,"House 83, Garden Town, Multan",0328-6666591,Prize Bond,Prize Bond,Doctor,4,False
FBR-5256,Fatima Mirza,5000000,500000,Non-ATL,"House 5, Model Town, Faisalabad",0317-3650523,Rental,Cash,Engineer,3,True
FBR-5257,Bilal Malik,3000000,300000,ATL,"House 168, Bahria Town, Sukkur",0333-5200835,Salary,Foreign Remittance,Shopkeeper,0,True
FBR-5258,Naveed Bibi,3000000,300000,ATL,"House 110, Pechs, Lahore",0315-2596917,Salary,Gift,Student,0,True
FBR-5259,Waseem Mirza,240000,24000,Non-ATL,"House 3, Hayatabad, Islamabad",0310-6764217,Salary,Cash,Lawyer,1,False
FBR-5260,Fatima Ahmed,960000,96000,Non-ATL,"House 81, Clifton, Karachi",0333-6020671,Business,Cash,Accountant,6,True
FBR-5261,Ahmed Abbasi,240000,24000,Non-ATL,"House 145, Model Town, Gujranwala",0310-3753418,Rental,Foreign Remittance,Lawyer,1,True
FBR-5262,Usman Malik,3000000,300000,ATL,"House 26, Hayatabad, Multan",0318-3066235,Prize Bond,Cash,Unemployed,0,False
FBR-5263,Hamza Javed,240000,24000,Non-ATL,"House 166, Cantt, Faisalabad",0315-5163551,Prize Bond,Prize Bond,Clerk,5,True
FBR-5264,Sana Siddiqui,5000000,500000,ATL,"House 133, DHA, Sukkur",0348-9548370,Business,Cash,Businessman,0,True
FBR-5265,Hina Bhatti,960000,96000,Non-ATL,"House 19, Johar Town, Rawalpindi",0343-1202450,Agriculture,Foreign Remittance,Doctor,3,False
FBR-5266,Hina Malik,3000000,300000,Non-ATL,"House 5, Nazimabad, Faisalabad",0347-2133008,Salary,Foreign Remittance,Driver,0,True
FBR-5267,Asad Abbasi,480000,48000,Non-ATL,"House 197, Nazimabad, Multan",0336-8106413,Rental,Savings,Shopkeeper,4,True
FBR-5268,Ahmed Abbasi,480000,48000,Non-ATL,"House 53, Gulberg, Peshawar",0319-9999133,Agriculture,Cash,Clerk,5,True
FBR-5269,Hamza Sheikh,960000,96000,ATL,"House 63, Satellite Town, Peshawar",0315-8289425,Salary,Cash,Clerk,0,True
FBR-5270,Zainab Ahmed,3000000,300000,ATL,"House 4, Model Town, Peshawar",0318-1190431,Business,Cash,Unemployed,0,True
FBR-5271,Sobia Javed,240000,24000,Non-ATL,"House 188, G-10, Islamabad",0317-1492516,Agriculture,Cash,Businessman,4,True
FBR-5272,Hina Mirza,1800000,180000,ATL,"House 131, Satellite Town, Peshawar",0333-1930113,Rental,Prize Bond,Doctor,0,True
FBR-5273,Kashif Ahmed,5000000,500000,Non-ATL,"House 59, F-7, Islamabad",0342-1043092,Salary,Savings,Driver,0,False
FBR-5274,Zainab Sheikh,240000,24000,Non-ATL,"House 142, Pechs, Faisalabad",0336-4766741,Agriculture,Gift,Housewife,5,True
FBR-5275,Kashif Chaudhry,0,0,Non-ATL,"House 31, Garden Town, Peshawar",0342-1883692,Business,Gift,Accountant,4,True
FBR-5276,Sana Butt,960000,96000,ATL,"House 23, Gulberg, Multan",0345-8662929,Salary,Foreign Remittance,Driver,0,True
FBR-5277,Sobia Bhatti,480000,48000,Non-ATL,"House 63, Cantt, Hyderabad",0339-7178606,Prize Bond,Cash,Accountant,6,True
FBR-5278,Ayesha Khan,5000000,500000,ATL,"House 105, Nazimabad, Sukkur",0311-4909053,Prize Bond,Foreign Remittance,Shopkeeper,0,True
FBR-5279,Sobia Iqbal,5000000,500000,ATL,"House 27, DHA, Faisalabad",0323-9888812,Business,Cash,Student,0,True
FBR-5280,Ahmed Sheikh,480000,48000,Non-ATL,"House 60, Satellite Town, Islamabad",0343-7929943,Agriculture,Cash,Lawyer,0,True
FBR-5281,Ahmed Soomro,3000000,300000,ATL,"House 146, Bahria Town, Sialkot",0313-8297801,Business,Gift,Businessman,0,True
FBR-5282,Sobia Butt,960000,96000,ATL,"House 82, Cantt, Faisalabad",0338-5562662,Business,Savings,Driver,0,True
FBR-5283,Fatima Hassan,240000,24000,Non-ATL,"House 116, Gulberg, Hyderabad",0339-6268604,Rental,Savings,Retired,2,True
FBR-5284,Fatima Malik,960000,96000,Non-ATL,"House 41, F-7, Quetta",0329-1676621,Business,Foreign Remittance,Doctor,0,True
FBR-5285,Sana Javed,1800000,180000,Non-ATL,"House 45, Pechs, Faisalabad",0311-7784575,Rental,Prize Bond,Lawyer,4,True
FBR-5286,Ayesha Ahmed,0,0,Non-ATL,"House 4, Johar Town, Karachi",0313-4729376,Business,Gift,Housewife,2,True
FBR-5287,Ahmed Khan,480000,48000,Non-ATL,"House 17, Hayatabad, Hyderabad",0322-8439543,Business,Savings,Accountant,2,True
FBR-5288,Zainab Soomro,0,0,Non-ATL,"House 111, Johar Town, Lahore",0335-9323619,Salary,Cash,Shopkeeper,3,True
FBR-5289,Bilal Javed,240000,24000,Non-ATL,"House 115, Clifton, Faisalabad",0319-1581321,Prize Bond,Prize Bond,Clerk,1,True
FBR-5290,Ahmed Javed,1800000,180000,ATL,"House 99, Pechs, Quetta",0318-8033593,Business,Prize Bond,Driver,0,True
FBR-5291,Amna Nawaz,3000000,300000,ATL,"House 89, Cantt, Multan",0346-9428760,Agriculture,Cash,Businessman,0,True
FBR-5292,Bilal Sheikh,1800000,180000,Non-ATL,"House 121, G-10, Lahore",0343-6996728,Prize Bond,Gift,Doctor,0,True
FBR-5293,Amna Sheikh,480000,48000,Non-ATL,"House 196, Clifton, Gujranwala",0324-7516648,Agriculture,Gift,Doctor,1,True
FBR-5294,Kashif Khan,480000,48000,Non-ATL,"House 181, Satellite Town, Sukkur",0332-3384080,Prize Bond,Gift,Accountant,3,True
FBR-5295,Ahmed Sheikh,0,0,Non-ATL,"House 60, Johar Town, Islamabad",0348-4671004,Salary,Prize Bond,Student,0,True
FBR-5296,Naveed Hassan,5000000,500000,Non-ATL,"House 83, Clifton, Hyderabad",0313-1367637,Business,Prize Bond,Lawyer,1,True
FBR-5297,Ahmed Chaudhry,480000,48000,Non-ATL,"House 181, Garden Town, Sialkot",0335-2695038,Agriculture,Foreign Remittance,Unemployed,1,True
FBR-5298,Hina Butt,5000000,500000,ATL,"House 45, Pechs, Sukkur",0345-6986539,Business,Prize Bond,Doctor,0,False
FBR-5299,Zainab Khan,3000000,300000,Non-ATL,"House 180, Satellite Town, Peshawar",0346-7569981,Prize Bond,Savings,Doctor,4,True
FBR-5300,Hina Raza,3000000,300000,ATL,"House 85, Clifton, Hyderabad",0314-4992909,Agriculture,Foreign Remittance,Doctor,0,True
FBR-5301,Imran Mirza,3000000,300000,ATL,"House 3, Model Town, Sukkur",0326-4517918,Business,Savings,Unemployed,0,True
FBR-5302,Ali Qureshi,0,0,Non-ATL,"House 113, Satellite Town, Karachi",0336-3790695,Rental,Cash,Housewife,2,False
FBR-5303,Kashif Bibi,960000,96000,ATL,"House 42, Garden Town, Karachi",0338-2236638,Salary,Foreign Remittance,Engineer,0,True
FBR-5304,Imran Hassan,0,0,Non-ATL,"House 97, Gulberg, Peshawar",0320-2258331,Prize Bond,Savings,Unemployed,4,False
FBR-5305,Zainab Bhatti,960000,96000,ATL,"House 112, DHA, Sukkur",0320-1898516,Salary,Foreign Remittance,Driver,0,True
FBR-5306,Sobia Rizvi,1800000,180000,ATL,"House 68, Satellite Town, Multan",0328-5989554,Business,Savings,Engineer,0,False
FBR-5307,Ali Chaudhry,5000000,500000,ATL,"House 1, Nazimabad, Hyderabad",0337-2470159,Agriculture,Prize Bond,Student,0,True
FBR-5308,Zainab Iqbal,240000,24000,Non-ATL,"House 21, DHA, Karachi",0340-2937918,Agriculture,Cash,Student,3,True
FBR-5309,Saima Qureshi,1800000,180000,ATL,"House 95, Model Town, Karachi",0321-8478868,Salary,Foreign Remittance,Student,0,False
FBR-5310,Ali Raza,5000000,500000,Non-ATL,"House 193, Clifton, Peshawar",0316-2437930,Agriculture,Prize Bond,Housewife,6,True
FBR-5311,Waseem Baig,5000000,500000,ATL,"House 138, DHA, Sialkot",0340-4953417,Rental,Foreign Remittance,Teacher,0,False
FBR-5312,Waseem Soomro,1800000,180000,ATL,"House 174, DHA, Sukkur",0349-3473761,Salary,Cash,Doctor,0,True
FBR-5313,Ayesha Sheikh,240000,24000,Non-ATL,"House 109, Cantt, Rawalpindi",0315-8304686,Business,Gift,Clerk,2,True
FBR-5314,Ahmed Qureshi,0,0,Non-ATL,"House 143, Cantt, Sukkur",0335-6471499,Agriculture,Prize Bond,Student,6,True
FBR-5315,Nadia Ahmed,1800000,180000,ATL,"House 107, Hayatabad, Sukkur",0319-3486379,Prize Bond,Prize Bond,Clerk,0,True
FBR-5316,Sana Rizvi,5000000,500000,Non-ATL,"House 89, Hayatabad, Karachi",0336-5431477,Rental,Cash,Clerk,4,False
FBR-5317,Tariq Raza,480000,48000,Non-ATL,"House 159, Bahria Town, Lahore",0348-7739741,Salary,Cash,Unemployed,5,True
FBR-5318,Saima Khan,960000,96000,ATL,"House 87, Satellite Town, Lahore",0329-6216863,Agriculture,Cash,Lawyer,0,True
FBR-5319,Sobia Mirza,480000,48000,Non-ATL,"House 199, Bahria Town, Rawalpindi",0330-5520117,Rental,Prize Bond,Shopkeeper,0,True
FBR-5320,Hina Abbasi,5000000,500000,ATL,"House 96, Clifton, Quetta",0313-9644791,Business,Savings,Businessman,0,False
FBR-5321,Kashif Khan,5000000,500000,ATL,"House 45, Cantt, Islamabad",0322-4367636,Salary,Gift,Engineer,0,False
FBR-5322,Saima Mirza,3000000,300000,Non-ATL,"House 130, G-10, Lahore",0335-3078241,Salary,Gift,Unemployed,3,False
FBR-5323,Saima Chaudhry,960000,96000,ATL,"House 42, Garden Town, Islamabad",0326-2516524,Agriculture,Savings,Housewife,0,True
FBR-5324,Usman Bibi,1800000,180000,ATL,"House 166, Garden Town, Islamabad",0324-4468370,Agriculture,Cash,Retired,0,True
FBR-5325,Asad Hassan,960000,96000,ATL,"House 154, DHA, Gujranwala",0310-4754238,Agriculture,Prize Bond,Accountant,0,True
FBR-5326,Tariq Chaudhry,3000000,300000,Non-ATL,"House 118, Satellite Town, Sukkur",0326-4660940,Rental,Foreign Remittance,Shopkeeper,4,False
FBR-5327,Waseem Chaudhry,0,0,Non-ATL,"House 144, Gulberg, Hyderabad",0348-5742531,Agriculture,Savings,Student,0,True
FBR-5328,Bilal Javed,480000,48000,Non-ATL,"House 168, Model Town, Peshawar",0329-4160157,Business,Prize Bond,Accountant,1,True
FBR-5329,Ayesha Khan,3000000,300000,ATL,"House 168, Pechs, Hyderabad",0341-5959422,Agriculture,Cash,Housewife,0,False
FBR-5330,Kashif Siddiqui,1800000,180000,ATL,"House 88, DHA, Sukkur",0324-9969688,Rental,Foreign Remittance,Retired,0,True
FBR-5331,Zainab Iqbal,3000000,300000,ATL,"House 25, Garden Town, Islamabad",0340-3146546,Agriculture,Prize Bond,Accountant,0,True
FBR-5332,Saima Bibi,3000000,300000,Non-ATL,"House 191, G-10, Gujranwala",0329-8054359,Agriculture,Foreign Remittance,Businessman,4,True
FBR-5333,Hina Sheikh,0,0,Non-ATL,"House 163, Garden Town, Quetta",0347-2194801,Rental,Gift,Retired,0,False
FBR-5334,Ayesha Raza,960000,96000,Non-ATL,"House 52, F-7, Sialkot",0331-7865099,Prize Bond,Cash,Doctor,2,True
FBR-5335,Asad Hassan,480000,48000,Non-ATL,"House 81, Johar Town, Karachi",0313-1079079,Rental,Foreign Remittance,Driver,6,True
FBR-5336,Hina Malik,240000,24000,Non-ATL,"House 34, Cantt, Hyderabad",0349-8276470,Rental,Cash,Housewife,3,False
FBR-5337,Saima Khan,1800000,180000,Non-ATL,"House 83, DHA, Lahore",0343-4197346,Salary,Savings,Shopkeeper,5,True
FBR-5338,Sana Raza,480000,48000,Non-ATL,"House 27, Satellite Town, Rawalpindi",0334-9444584,Prize Bond,Foreign Remittance,Doctor,0,True
FBR-5339,Rabia Abbasi,960000,96000,ATL,"House 87, F-7, Peshawar",0337-3244614,Agriculture,Cash,Unemployed,0,True
FBR-5340,Hamza Raza,960000,96000,Non-ATL,"House 55, Cantt, Islamabad",0311-9466346,Business,Savings,Unemployed,5,True
FBR-5341,Amna Bhatti,480000,48000,Non-ATL,"House 13, Model Town, Multan",0348-1804641,Salary,Savings,Engineer,5,True
FBR-5342,Bilal Nawaz,960000,96000,Non-ATL,"House 180, Johar Town, Multan",0319-4447632,Salary,Foreign Remittance,Housewife,5,True
FBR-5343,Rabia Bhatti,480000,48000,Non-ATL,"House 180, Nazimabad, Gujranwala",0318-8026730,Salary,Prize Bond,Lawyer,4,True
FBR-5344,Usman Bhatti,5000000,500000,Non-ATL,"House 52, Gulberg, Peshawar",0326-9776935,Business,Foreign Remittance,Lawyer,3,True
FBR-5345,Usman Nawaz,1800000,180000,ATL,"House 85, DHA, Islamabad",0325-1045936,Salary,Savings,Teacher,0,False
FBR-5346,Sobia Ahmed,5000000,500000,ATL,"House 66, Gulberg, Islamabad",0324-8663014,Agriculture,Foreign Remittance,Student,0,True
FBR-5347,Ali Iqbal,240000,24000,Non-ATL,"House 93, Garden Town, Karachi",0330-8147013,Salary,Savings,Accountant,0,True
FBR-5348,Saima Mirza,3000000,300000,Non-ATL,"House 160, Model Town, Islamabad",0327-2559464,Agriculture,Foreign Remittance,Doctor,0,False
FBR-5349,Tariq Nawaz,480000,48000,Non-ATL,"House 108, Johar Town, Multan",0320-2896774,Business,Savings,Doctor,0,False
FBR-5350,Zubair Hassan,5000000,500000,ATL,"House 157, Johar Town, Hyderabad",0334-7016291,Prize Bond,Savings,Shopkeeper,0,True
FBR-5351,Nadia Mirza,0,0,Non-ATL,"House 12, Johar Town, Quetta",0314-5389135,Agriculture,Savings,Lawyer,6,True
FBR-5352,Waseem Abbasi,480000,48000,Non-ATL,"House 177, Garden Town, Gujranwala",0349-2597897,Rental,Gift,Student,2,False
FBR-5353,Rabia Sheikh,5000000,500000,ATL,"House 3, Garden Town, Islamabad",0320-9482016,Rental,Cash,Doctor,0,True
FBR-5354,Imran Javed,240000,24000,Non-ATL,"House 13, G-10, Quetta",0342-4736395,Prize Bond,Cash,Housewife,6,True
FBR-5355,Zubair Malik,960000,96000,ATL,"House 128, Johar Town, Karachi",0338-6302632,Salary,Cash,Lawyer,0,True
FBR-5356,Amna Khan,960000,96000,Non-ATL,"House 24, Pechs, Karachi",0348-6110305,Prize Bond,Prize Bond,Driver,5,False
FBR-5357,Hamza Mirza,5000000,500000,Non-ATL,"House 85, G-10, Faisalabad",0345-8937865,Agriculture,Cash,Teacher,0,True
FBR-5358,Asad Iqbal,480000,48000,Non-ATL,"House 141, G-10, Lahore",0343-7272839,Salary,Savings,Doctor,3,True
FBR-5359,Bilal Bhatti,3000000,300000,ATL,"House 51, Satellite Town, Sukkur",0322-3025778,Rental,Gift,Student,0,True
FBR-5360,Nadia Sheikh,0,0,Non-ATL,"House 163, G-10, Sukkur",0347-3067274,Rental,Cash,Shopkeeper,4,True
FBR-5361,Amna Baig,1800000,180000,ATL,"House 150, DHA, Quetta",0340-9528410,Business,Prize Bond,Doctor,0,True
FBR-5362,Imran Abbasi,3000000,300000,ATL,"House 99, Pechs, Karachi",0336-5164755,Agriculture,Cash,Unemployed,0,True
FBR-5363,Ayesha Baig,240000,24000,Non-ATL,"House 155, Cantt, Quetta",0342-6014930,Prize Bond,Foreign Remittance,Lawyer,5,True
FBR-5364,Farah Chaudhry,1800000,180000,ATL,"House 173, Clifton, Rawalpindi",0318-3983202,Prize Bond,Prize Bond,Lawyer,0,True
FBR-5365,Hina Soomro,5000000,500000,ATL,"House 147, Gulberg, Sukkur",0336-9957402,Agriculture,Cash,Accountant,0,True
FBR-5366,Tariq Raza,0,0,Non-ATL,"House 14, Gulberg, Sialkot",0313-4353806,Agriculture,Gift,Businessman,5,True
FBR-5367,Naveed Iqbal,0,0,Non-ATL,"House 53, Garden Town, Islamabad",0344-1542011,Agriculture,Cash,Teacher,4,True
FBR-5368,Waseem Iqbal,1800000,180000,ATL,"House 178, Model Town, Sukkur",0313-7401894,Rental,Cash,Accountant,0,True
FBR-5369,Sobia Javed,0,0,Non-ATL,"House 52, DHA, Sialkot",0349-8433377,Business,Foreign Remittance,Accountant,4,True
FBR-5370,Zubair Hassan,480000,48000,Non-ATL,"House 175, Clifton, Sukkur",0314-4136946,Business,Prize Bond,Teacher,3,True
FBR-5371,Zainab Soomro,1800000,180000,Non-ATL,"House 66, F-7, Multan",0310-6545923,Rental,Gift,Engineer,1,True
FBR-5372,Rabia Iqbal,5000000,500000,ATL,"House 126, DHA, Hyderabad",0346-7007679,Salary,Foreign Remittance,Retired,0,True
FBR-5373,Waseem Hassan,0,0,Non-ATL,"House 107, Nazimabad, Islamabad",0344-7768215,Salary,Foreign Remittance,Driver,1,True
FBR-5374,Usman Bhatti,480000,48000,Non-ATL,"House 136, G-10, Faisalabad",0340-1147701,Salary,Foreign Remittance,Student,1,True
FBR-5375,Tariq Ahmed,480000,48000,Non-ATL,"House 99, Model Town, Lahore",0326-5745083,Salary,Prize Bond,Accountant,2,False
FBR-5376,Asad Siddiqui,480000,48000,Non-ATL,"House 83, DHA, Quetta",0342-2381527,Salary,Gift,Accountant,4,True
FBR-5377,Farah Siddiqui,240000,24000,Non-ATL,"House 176, Gulberg, Gujranwala",0337-2743602,Business,Prize Bond,Lawyer,5,False
FBR-5378,Sobia Raza,0,0,Non-ATL,"House 7, Garden Town, Gujranwala",0339-6565260,Salary,Savings,Teacher,0,True
FBR-5379,Kashif Bibi,0,0,Non-ATL,"House 67, Nazimabad, Peshawar",0336-7510106,Rental,Cash,Housewife,2,True
FBR-5380,Amna Khan,0,0,Non-ATL,"House 165, Model Town, Multan",0349-2060950,Prize Bond,Savings,Lawyer,6,True
FBR-5381,Sana Iqbal,0,0,Non-ATL,"House 156, Nazimabad, Faisalabad",0315-5723078,Rental,Cash,Housewife,6,True
FBR-5382,Sobia Qureshi,1800000,180000,Non-ATL,"House 140, Bahria Town, Quetta",0328-3417186,Agriculture,Foreign Remittance,Engineer,4,True
FBR-5383,Kashif Bhatti,0,0,Non-ATL,"House 101, DHA, Karachi",0344-2428191,Agriculture,Gift,Lawyer,5,True
FBR-5384,Ayesha Hassan,3000000,300000,ATL,"House 48, Pechs, Rawalpindi",0324-5240303,Business,Savings,Doctor,0,True
FBR-5385,Sana Malik,3000000,300000,ATL,"House 65, Johar Town, Sialkot",0316-4312117,Prize Bond,Cash,Unemployed,0,True
FBR-5386,Sana Bhatti,3000000,300000,Non-ATL,"House 18, Model Town, Islamabad",0322-6331563,Rental,Cash,Unemployed,4,True
FBR-5387,Kashif Soomro,240000,24000,Non-ATL,"House 94, Hayatabad, Sukkur",0330-8185805,Business,Savings,Unemployed,1,True
FBR-5388,Saima Raza,3000000,300000,ATL,"House 174, Satellite Town, Sukkur",0331-9052291,Rental,Cash,Unemployed,0,True
FBR-5389,Zainab Bhatti,0,0,Non-ATL,"House 21, Nazimabad, Quetta",0327-3348838,Prize Bond,Gift,Businessman,5,True
FBR-5390,Waseem Khan,0,0,Non-ATL,"House 149, Gulberg, Sukkur",0347-7797028,Prize Bond,Gift,Engineer,4,True
