meter_ref_no,consumer_name,installation_address,avg_monthly_bill_pkr,connection_type
MTR-EX4326,Tariq Chaudhry,"House 118, Satellite Town, Sukkur",54565,Domestic
MTR-EX4327,Waseem Chaudhry,"House 144, Gulberg, Hyderabad",56740,Domestic
MTR-EX4328,Bilal Javed,"House 168, Model Town, Peshawar",57493,Domestic
MTR-EX4329,Ayesha Khan,"House 168, Pechs, Hyderabad",47194,Domestic
MTR-EX4330,Kashif Siddiqui,"House 88, DHA, Sukkur",31229,Domestic
MTR-EX4331,Zainab Iqbal,"House 25, Garden Town, Islamabad",28337,Domestic
MTR-EX4332,Saima Bibi,"House 191, G-10, Gujranwala",36183,Domestic
MTR-EX4333,Hina Sheikh,"House 163, Garden Town, Quetta",48691,Domestic
MTR-EX4334,Ayesha Raza,"House 52, F-7, Sialkot",44529,Domestic
MTR-EX4335,Asad Hassan,"House 81, Johar Town, Karachi",31505,Domestic
MTR-EX4336,Hina Malik,"House 34, Cantt, Hyderabad",36754,Domestic
MTR-EX4337,Saima Khan,"House 83, DHA, Lahore",38516,Domestic
MTR-EX4338,Sana Raza,"House 27, Satellite Town, Rawalpindi",23277,Domestic
MTR-EX4339,Rabia Abbasi,"House 87, F-7, Peshawar",14658,Domestic
MTR-EX4340,Hamza Raza,"House 55, Cantt, Islamabad",55331,Domestic
MTR-EX4341,Amna Bhatti,"House 13, Model Town, Multan",34794,Domestic
MTR-EX4342,Bilal Nawaz,"House 180, Johar Town, Multan",12080,Domestic
MTR-EX4343,Rabia Bhatti,"House 180, Nazimabad, Gujranwala",13007,Domestic
MTR-EX4344,Usman Bhatti,"House 52, Gulberg, Peshawar",21429,Domestic
MTR-EX4345,Usman Nawaz,"House 85, DHA, Islamabad",37069,Domestic
MTR-EX4346,Sobia Ahmed,"House 66, Gulberg, Islamabad",37589,Domestic
MTR-EX4347,Ali Iqbal,"House 93, Garden Town, Karachi",20127,Domestic
MTR-EX4348,Saima Mirza,"House 160, Model Town, Islamabad",46180,Domestic
MTR-EX4349,Tariq Nawaz,"House 108, Johar Town, Multan",13821,Domestic
MTR-EX4350,Zubair Hassan,"House 157, Johar Town, Hyderabad",6947,Domestic
MTR-EX4351,Nadia Mirza,"House 12, Johar Town, Quetta",11527,Domestic
MTR-EX4352,Waseem Abbasi,"House 177, Garden Town, Gujranwala",53352,Domestic
MTR-EX4353,Rabia Sheikh,"House 3, Garden Town, Islamabad",8463,Domestic
MTR-EX4354,Imran Javed,"House 13, G-10, Quetta",59415,Domestic
MTR-EX4355,Zubair Malik,"House 128, Johar Town, Karachi",9471,Domestic
MTR-EX4356,Amna Khan,"House 24, Pechs, Karachi",37645,Domestic
MTR-EX4357,Hamza Mirza,"House 85, G-10, Faisalabad",49440,Domestic
MTR-EX4358,Asad Iqbal,"House 141, G-10, Lahore",6753,Domestic
MTR-EX4359,Bilal Bhatti,"House 51, Satellite Town, Sukkur",16737,Domestic
MTR-EX4360,Nadia Sheikh,"House 163, G-10, Sukkur",30076,Domestic
MTR-EX4361,Amna Baig,"House 150, DHA, Quetta",44622,Domestic
MTR-EX4362,Imran Abbasi,"House 99, Pechs, Karachi",49512,Domestic
MTR-EX4363,Ayesha Baig,"House 155, Cantt, Quetta",26427,Domestic
MTR-EX4364,Farah Chaudhry,"House 173, Clifton, Rawalpindi",15009,Domestic
MTR-EX4365,Hina Soomro,"House 147, Gulberg, Sukkur",24841,Domestic
MTR-EX4366,Tariq Raza,"House 14, Gulberg, Sialkot",45761,Domestic
MTR-EX4367,Naveed Iqbal,"House 53, Garden Town, Islamabad",45844,Domestic
MTR-EX4368,Waseem Iqbal,"House 178, Model Town, Sukkur",11313,Domestic
MTR-EX4369,Sobia Javed,"House 52, DHA, Sialkot",54818,Domestic
MTR-EX4370,Zubair Hassan,"House 175, Clifton, Sukkur",10014,Domestic
MTR-EX4371,Zainab Soomro,"House 66, F-7, Multan",48324,Domestic
MTR-EX4372,Rabia Iqbal,"House 126, DHA, Hyderabad",54257,Domestic
MTR-EX4373,Waseem Hassan,"House 107, Nazimabad, Islamabad",39075,Domestic
MTR-EX4374,Usman Bhatti,"House 136, G-10, Faisalabad",55303,Domestic
MTR-EX4375,Tariq Ahmed,"House 99, Model Town, Lahore",37256,Domestic
MTR-EX4376,Asad Siddiqui,"House 83, DHA, Quetta",56952,Domestic
MTR-EX4377,Farah Siddiqui,"House 176, Gulberg, Gujranwala",35541,Domestic
MTR-EX4378,Sobia Raza,"House 7, Garden Town, Gujranwala",18233,Domestic
MTR-EX4379,Kashif Bibi,"House 67, Nazimabad, Peshawar",24238,Domestic
MTR-EX4380,Amna Khan,"House 165, Model Town, Multan",48390,Domestic
MTR-EX4381,Sana Iqbal,"House 156, Nazimabad, Faisalabad",37630,Domestic
MTR-EX4382,Sobia Qureshi,"House 140, Bahria Town, Quetta",37129,Domestic
MTR-EX4383,Kashif Bhatti,"House 101, DHA, Karachi",38082,Domestic
MTR-EX4384,Ayesha Hassan,"House 48, Pechs, Rawalpindi",22148,Domestic
MTR-EX4385,Sana Malik,"House 65, Johar Town, Sialkot",40549,Domestic
MTR-EX4386,Sana Bhatti,"House 18, Model Town, Islamabad",27519,Domestic
MTR-EX4387,Kashif Soomro,"House 94, Hayatabad, Sukkur",58050,Domestic
MTR-EX4388,Saima Raza,"House 174, Satellite Town, Sukkur",40424,Domestic
MTR-EX4389,Zainab Bhatti,"House 21, Nazimabad, Quetta",40823,Domestic
MTR-EX4390,Waseem Khan,"House 149, Gulberg, Sukkur",6158,Domestic
MTR-EX4391,Ayesha Chaudhry,"House 101, Nazimabad, Sialkot",55067,Domestic
MTR-EX4392,Hamza Bhatti,"House 176, G-10, Multan",7070,Domestic
MTR-EX4393,Ali Bibi,"House 195, Satellite Town, Sukkur",33207,Domestic
MTR-EX4394,Waseem Chaudhry,"House 100, Model Town, Lahore",12807,Domestic
MTR-EX4395,Sobia Javed,"House 149, Nazimabad, Sukkur",30141,Domestic
MTR-EX4396,Hamza Abbasi,"House 104, F-7, Sialkot",34498,Domestic
MTR-EX4397,Ahmed Abbasi,"House 165, Bahria Town, Sialkot",25614,Domestic
MTR-EX4398,Sobia Ahmed,"House 124, Clifton, Gujranwala",29663,Domestic
MTR-EX4399,Ayesha Soomro,"House 152, Clifton, Lahore",34003,Domestic
MTR-EX4400,Waseem Qureshi,"House 154, F-7, Islamabad",35124,Domestic
MTR-EX4401,Nadia Bhatti,"House 37, Bahria Town, Quetta",7358,Domestic
MTR-EX4402,Tariq Qureshi,"House 34, Hayatabad, Quetta",7153,Domestic
MTR-EX4403,Zainab Nawaz,"House 158, Hayatabad, Islamabad",16591,Domestic
MTR-EX4404,Rabia Rizvi,"House 1, Model Town, Quetta",41481,Domestic
MTR-EX4405,Tariq Chaudhry,"House 151, Cantt, Rawalpindi",48215,Domestic
MTR-EX4406,Sana Bhatti,"House 140, Garden Town, Rawalpindi",56077,Domestic
MTR-EX4407,Waseem Khan,"House 97, Nazimabad, Hyderabad",24860,Domestic
MTR-EX4408,Bilal Rizvi,"House 109, Hayatabad, Gujranwala",51272,Domestic
MTR-EX4409,Zainab Chaudhry,"House 144, Nazimabad, Multan",15757,Domestic
MTR-EX4410,Farah Ahmed,"House 192, Pechs, Sukkur",37209,Domestic
MTR-EX4411,Farah Sheikh,"House 42, Cantt, Faisalabad",33225,Domestic
MTR-EX4412,Hamza Chaudhry,"House 21, Gulberg, Karachi",13813,Domestic
MTR-EX4413,Zainab Nawaz,"House 113, Hayatabad, Sukkur",25477,Domestic
MTR-EX4414,Hamza Khan,"House 41, Bahria Town, Hyderabad",51905,Domestic
MTR-EX4415,Naveed Malik,"House 24, Clifton, Hyderabad",30498,Domestic
MTR-EX4416,Zubair Qureshi,"House 148, Hayatabad, Rawalpindi",36945,Domestic
MTR-EX4417,Fatima Abbasi,"House 66, F-7, Sialkot",55070,Domestic
MTR-EX4418,Kashif Khan,"House 124, Cantt, Faisalabad",12168,Domestic
MTR-EX4419,Imran Baig,"House 91, Satellite Town, Gujranwala",42280,Domestic
MTR-EX4420,Ahmed Rizvi,"House 46, Model Town, Multan",49238,Domestic
MTR-EX4421,Usman Nawaz,"House 189, Satellite Town, Islamabad",37148,Domestic
MTR-EX4422,Rabia Chaudhry,"House 40, Garden Town, Rawalpindi",48258,Domestic
MTR-EX4423,Kashif Javed,"House 126, G-10, Quetta",41292,Domestic
MTR-EX4424,Amna Sheikh,"House 129, Nazimabad, Lahore",49916,Domestic
MTR-EX4425,Muhammad Siddiqui,"House 98, Satellite Town, Faisalabad",40349,Domestic
MTR-EX4426,Hamza Javed,"House 121, Nazimabad, Islamabad",42500,Domestic
MTR-EX4427,Tariq Javed,"House 116, Satellite Town, Multan",35790,Domestic
MTR-EX4428,Usman Raza,"House 190, Nazimabad, Rawalpindi",36189,Domestic
MTR-EX4429,Sobia Butt,"House 125, Garden Town, Islamabad",41847,Domestic
MTR-EX4430,Ali Siddiqui,"House 66, Satellite Town, Karachi",15243,Domestic
MTR-EX4431,Muhammad Baig,"House 32, Nazimabad, Sialkot",38206,Domestic
MTR-EX4432,Farah Abbasi,"House 125, G-10, Peshawar",8652,Domestic
MTR-EX4433,Nadia Bhatti,"House 147, Model Town, Islamabad",30649,Domestic
MTR-EX4434,Bilal Bhatti,"House 166, G-10, Faisalabad",22261,Domestic
MTR-EX4435,Muhammad Raza,"House 187, Bahria Town, Multan",37420,Domestic
MTR-EX4436,Muhammad Qureshi,"House 135, Gulberg, Karachi",43734,Domestic
MTR-EX4437,Hamza Bibi,"House 189, Pechs, Gujranwala",29759,Domestic
MTR-EX4438,Imran Nawaz,"House 120, DHA, Lahore",45431,Domestic
MTR-EX4439,Asad Soomro,"House 112, Hayatabad, Hyderabad",49334,Domestic
MTR-EX4440,Saima Baig,"House 67, Johar Town, Karachi",28118,Domestic
MTR-EX4441,Naveed Nawaz,"House 194, F-7, Faisalabad",55231,Domestic
MTR-EX4442,Saima Siddiqui,"House 106, Clifton, Hyderabad",23640,Domestic
MTR-EX4443,Ahmed Baig,"House 161, Clifton, Multan",26003,Domestic
MTR-EX4444,Ayesha Iqbal,"House 29, Clifton, Multan",9025,Domestic
MTR-EX4445,Amna Khan,"House 48, Bahria Town, Lahore",6844,Domestic
MTR-EX4446,Muhammad Nawaz,"House 56, Gulberg, Rawalpindi",43696,Domestic
MTR-EX4447,Ayesha Sheikh,"House 69, Gulberg, Faisalabad",7956,Domestic
MTR-EX4448,Fatima Bibi,"House 99, Garden Town, Peshawar",13401,Domestic
MTR-EX4449,Hina Qureshi,"House 175, Model Town, Sialkot",59849,Domestic
