vehicle_reg_no,owner_name,engine_capacity_cc,vehicle_make_model,registration_year,owner_address,import_type,declared_import_value_pkr
REG-6343-364,Farah Chaudhry,1000,Suzuki WagonR,2018,"House 173, Clifton, Rawalpindi",Local,0
REG-4276-365,Hina Soomro,1800,Toyota Corolla Grande,2021,"House 147, Gulberg, Sukkur",Local,0
REG-8936-366,Tariq Raza,3000,Toyota Land Cruiser,2015,"House 14, Gulberg, Sialkot",Imported,0
REG-8454-367,Naveed Iqbal,3000,Toyota Land Cruiser,2017,"House 53, Garden Town, Islamabad",Imported,0
REG-4181-368,Waseem Iqbal,2000,Toyota Prado,2025,"House 178, Model Town, Sukkur",Local,0
REG-1525-370,Zubair Hassan,1300,Toyota Corolla,2026,"House 175, Clifton, Sukkur",Local,0
REG-8627-371,Zainab Soomro,1000,Suzuki WagonR,2022,"House 66, F-7, Multan",Imported,0
REG-4602-372,Rabia Iqbal,1800,Honda Civic,2019,"House 126, DHA, Hyderabad",Local,0
REG-3784-374,Usman Bhatti,3000,Toyota Land Cruiser,2024,"House 136, G-10, Faisalabad",Local,0
REG-9015-375,Tariq Ahmed,2700,Toyota Fortuner,2018,"House 99, Model Town, Lahore",Imported,0
REG-5041-377,Farah Siddiqui,1800,Toyota Corolla Grande,2018,"House 176, Gulberg, Gujranwala",Local,0
REG-3440-378,Sobia Raza,1300,Honda City,2024,"House 7, Garden Town, Gujranwala",Local,0
REG-1656-379,Kashif Bibi,660,Suzuki Alto,2022,"House 67, Nazimabad, Peshawar",Local,0
REG-8852-380,Amna Khan,1800,Toyota Corolla Grande,2026,"House 165, Model Town, Multan",Local,0
REG-2361-381,Sana Iqbal,1300,Honda City,2023,"House 156, Nazimabad, Faisalabad",Local,0
REG-4571-382,Sobia Qureshi,1800,Toyota Corolla Grande,2017,"House 140, Bahria Town, Quetta",Local,0
REG-1260-383,Kashif Bhatti,1000,Suzuki WagonR,2022,"House 101, DHA, Karachi",Local,0
REG-1399-384,Ayesha Hassan,2000,Toyota Prado,2022,"House 48, Pechs, Rawalpindi",Imported,0
REG-8607-387,Kashif Soomro,1800,Honda Civic,2026,"House 94, Hayatabad, Sukkur",Local,0
REG-9698-389,Zainab Bhatti,1800,Honda Civic,2015,"House 21, Nazimabad, Quetta",Local,0
REG-9887-390,Waseem Khan,1500,Toyota Yaris,2024,"House 149, Gulberg, Sukkur",Local,0
REG-1898-392,Hamza Bhatti,1800,Honda Civic,2023,"House 176, G-10, Multan",Local,0
REG-8624-394,Waseem Chaudhry,1800,Honda Civic,2024,"House 100, Model Town, Lahore",Local,0
REG-2097-395,Sobia Javed,1300,Toyota Corolla,2023,"House 149, Nazimabad, Sukkur",Local,0
REG-4909-396,Hamza Abbasi,1800,Honda Civic,2023,"House 104, F-7, Sialkot",Local,0
REG-4437-397,Ahmed Abbasi,3000,Toyota Land Cruiser,2026,"House 165, Bahria Town, Sialkot",Local,0
REG-9250-398,Sobia Ahmed,1500,Toyota Yaris,2025,"House 124, Clifton, Gujranwala",Imported,0
REG-7108-399,Ayesha Soomro,1000,Suzuki WagonR,2020,"House 152, Clifton, Lahore",Imported,0
REG-3010-400,Waseem Qureshi,2700,Toyota Fortuner,2022,"House 154, F-7, Islamabad",Local,0
REG-2075-401,Nadia Bhatti,1800,Honda Civic,2018,"House 37, Bahria Town, Quetta",Imported,0
REG-3929-402,Tariq Qureshi,1800,Toyota Corolla Grande,2019,"House 34, Hayatabad, Quetta",Local,0
REG-2835-403,Zainab Nawaz,1500,Toyota Yaris,2026,"House 158, Hayatabad, Islamabad",Local,0
REG-9530-404,Rabia Rizvi,1300,Honda City,2025,"House 1, Model Town, Quetta",Local,0
REG-3163-405,Tariq Chaudhry,2700,Toyota Fortuner,2022,"House 151, Cantt, Rawalpindi",Local,0
REG-5776-406,Sana Bhatti,660,Suzuki Alto,2018,"House 140, Garden Town, Rawalpindi",Local,0
REG-9513-407,Waseem Khan,1300,Honda City,2025,"House 97, Nazimabad, Hyderabad",Local,0
REG-6346-408,Bilal Rizvi,1800,Honda Civic,2022,"House 109, Hayatabad, Gujranwala",Imported,0
REG-3161-409,Zainab Chaudhry,3000,Toyota Land Cruiser,2019,"House 144, Nazimabad, Multan",Local,0
REG-5720-411,Farah Sheikh,1800,Honda Civic,2015,"House 42, Cantt, Faisalabad",Local,0
REG-3725-412,Hamza Chaudhry,2000,Toyota Prado,2024,"House 21, Gulberg, Karachi",Local,0
REG-3514-414,Hamza Khan,1300,Toyota Corolla,2017,"House 41, Bahria Town, Hyderabad",Local,0
REG-3072-415,Naveed Malik,1800,Honda Civic,2022,"House 24, Clifton, Hyderabad",Local,0
REG-1568-416,Zubair Qureshi,1300,Honda City,2025,"House 148, Hayatabad, Rawalpindi",Local,0
REG-9845-418,Kashif Khan,2000,Toyota Prado,2017,"House 124, Cantt, Faisalabad",Local,0
REG-7628-419,Imran Baig,660,Suzuki Alto,2022,"House 91, Satellite Town, Gujranwala",Local,0
REG-9313-422,Rabia Chaudhry,2700,Toyota Fortuner,2020,"House 40, Garden Town, Rawalpindi",Local,0
REG-3409-423,Kashif Javed,1500,Toyota Yaris,2024,"House 126, G-10, Quetta",Imported,0
REG-8847-424,Amna Sheikh,1000,Suzuki WagonR,2015,"House 129, Nazimabad, Lahore",Local,0
REG-6047-425,Muhammad Siddiqui,1000,Suzuki WagonR,2015,"House 98, Satellite Town, Faisalabad",Imported,0
REG-8306-426,Hamza Javed,1300,Honda City,2020,"House 121, Nazimabad, Islamabad",Local,0
REG-4197-427,Tariq Javed,3000,Toyota Land Cruiser,2024,"House 116, Satellite Town, Multan",Local,0
REG-9821-430,Ali Siddiqui,1000,Suzuki WagonR,2022,"House 66, Satellite Town, Karachi",Local,0
REG-6206-432,Farah Abbasi,2000,Toyota Prado,2024,"House 125, G-10, Peshawar",Local,0
REG-8006-434,Bilal Bhatti,1300,Toyota Corolla,2020,"House 166, G-10, Faisalabad",Imported,0
REG-6651-435,Muhammad Raza,1500,Toyota Yaris,2020,"House 187, Bahria Town, Multan",Local,0
REG-7809-438,Imran Nawaz,2000,Toyota Prado,2022,"House 120, DHA, Lahore",Local,0
REG-7786-439,Asad Soomro,1800,Toyota Corolla Grande,2017,"House 112, Hayatabad, Hyderabad",Local,0
REG-8776-440,Saima Baig,1500,Toyota Yaris,2023,"House 67, Johar Town, Karachi",Local,0
REG-7156-441,Naveed Nawaz,3000,Toyota Land Cruiser,2016,"House 194, F-7, Faisalabad",Local,0
REG-7791-442,Saima Siddiqui,1500,Toyota Yaris,2017,"House 106, Clifton, Hyderabad",Imported,0
REG-7254-445,Amna Khan,1300,Toyota Corolla,2019,"House 48, Bahria Town, Lahore",Imported,0
REG-5979-446,Muhammad Nawaz,1500,Toyota Yaris,2022,"House 56, Gulberg, Rawalpindi",Imported,0
REG-3523-447,Ayesha Sheikh,660,Suzuki Alto,2019,"House 69, Gulberg, Faisalabad",Local,0
